,city,city_latitude,city_longitude
0,Southern Pines,35.1740471,-79.3922539
1,Spokane Valley,47.6571104,-117.2613936
2,Los Angeles,34.0536909,-118.242766
3,Dallas,32.7762719,-96.7968559
4,Palm Bay,27.9946969,-80.6366144
5,Philadelphia,39.9527237,-75.1635262
6,POINCIANA,28.1743275,-81.49322346187505
7,Memphis,35.1460249,-90.0517638
8,Mason City,43.1524574,-93.2017941
9,Houston,29.7589382,-95.3676974
10,Flushing,40.7654301,-73.8174291
11,Pembroke Pines,26.0031465,-80.223937
12,Eugene,44.0505054,-123.0950506
13,Brooklyn,40.6526006,-73.9497211
14,Fort Lauderdale,26.1223084,-80.1433786
15,New York,40.7127281,-74.0060152
16,Tomball,30.0971621,-95.6160549
17,Palmdale,34.5793131,-118.1171108
18,Bend,44.0581728,-121.3153096
19,Miami Beach,25.7929198,-80.1353006
20,Spring,30.0798826,-95.4172549
21,Killeen,31.1171441,-97.727796
22,Washington,38.8950368,-77.0365427
23,Miami,25.7741728,-80.19362
24,Davie,35.9375154,-80.5464948
25,Tampa,27.9477595,-82.458444
26,Pt Saint Lucie,27.2939333,-80.3503283
27,North Miami Beach,25.9331488,-80.1625463
28,Jacksonville,30.3321838,-81.655651
29,Charlotte,35.2272086,-80.8430827
30,Fresno,36.7394421,-119.7848307
31,ROTONDA WEST,26.879438999999998,-82.28068480902428
32,San Diego,32.7174202,-117.1627728
33,Weston,51.3471927,-2.9778916
34,Las Vegas,36.1672559,-115.148516
35,Sylmar,34.3076252,-118.4492148
36,Tyler,32.3512601,-95.3010624
37,Fort Worth,32.753177,-97.3327459
38,Signal Mountain,35.1223478,-85.3436973
39,Glendale,34.1469416,-118.2478471
40,Palm Coast,29.5541432,-81.2207673
41,Beechhurst,40.7914903,-73.8045781
42,Portland,45.5202471,-122.674194
43,Hapeville,33.660109,-84.4102046
44,Woodway,31.5059105,-97.2050856
45,Durham,35.996653,-78.9018053
46,Hernando Beach,28.4767735,-82.65917292611684
47,Temple Terrace,28.0352964,-82.3892596
48,Plantation,26.1275862,-80.2331036
