,city,state,major_city,addres,geocode,lat_1,long_1
46,Tyler,TX,Tyler,"city Tyler, state TX, Tyler",,,
389,Hastings,MI,Hastings,"city Hastings, state MI, Hastings","Hastings City Hall, 201, East State Street, Hastings, Barry County, Michigan, 49058, United States",42.65,-85.29
472,Aurora,CO,Aurora,"city Aurora, state CO, Aurora","Emerald City Smoothie, 9881, Aurora Avenue North, Licton Springs, Greenwood, Seattle, King County, Washington, 98103, United States",47.7,-122.35
530,AURORA,CO,Aurora,"city AURORA, state CO, Aurora","Emerald City Smoothie, 9881, Aurora Avenue North, Licton Springs, Greenwood, Seattle, King County, Washington, 98103, United States",47.7,-122.35
554,Chino,CA,Ontario,"city Chino, state CA, Ontario",,,
730,Roanoke,TX,Roanoke,"city Roanoke, state TX, Roanoke",,,
905,Oak Park,MI,Oak Park,"city Oak Park, state MI, Oak Park","Traverse City Christian Church, 748, East State Street, Oak Park Neighborhood, Traverse City, Grand Traverse County, Michigan, 49686, United States",44.76,-85.61
1181,Fairfield,VA,Fairfield,"city Fairfield, state VA, Fairfield","Old City Road, Old City, Town of Fairfield, Herkimer County, New York, 13416, United States",43.16,-74.99
1807,Madison,TN,Madison,"city Madison, state TN, Madison","Emerald City Community Seventh Day Adventist Church, 801, 25th Avenue, Madison Valley, Central District, Seattle, King County, Washington, 98122, United States",47.61,-122.3
1946,Anderson,TX,Anderson,"city Anderson, state TX, Anderson",,,
2236,Abilene,TX,Abilene,"city Abilene, state TX, Abilene",,,
2287,Boston,MA,Dorchester,"city Boston, state MA, Dorchester",,,
2363,Marshall,MI,Marshall,"city Marshall, state MI, Marshall",,,
2464,Abingdon,VA,Abingdon,"city Abingdon, state VA, Abingdon",,,
2900,Crosby,TX,Crosby,"city Crosby, state TX, Crosby",,,
3194,Warren,MI,Warren,"city Warren, state MI, Warren","City of Glens Falls, Warren County, New York, 12801, United States",43.31,-73.64
3581,Fairfield,PA,Fairfield,"city Fairfield, state PA, Fairfield",,,
3700,Glendale,UT,Glendale,"city Glendale, state UT, Glendale",,,
4076,San Bernardino,CA,San Bernardino,"city San Bernardino, state CA, San Bernardino",,,
4347,Beulah,CO,Beulah,"city Beulah, state CO, Beulah",,,
4552,Mission Hills,CA,Mission Hills,"city Mission Hills, state CA, Mission Hills",,,
4653,Charlotte,MI,Charlotte,"city Charlotte, state MI, Charlotte","Charlotte High School, Atwell Street, Charlotte, City of Rochester, Monroe County, New York, 14612, United States",43.25,-77.62
5019,Carroll,OH,Carroll,"city Carroll, state OH, Carroll",,,
5345,Adams,TN,Adams,"city Adams, state TN, Adams","City of Ritzville Park, Ritzville, Adams County, Washington, United States",47.12,-118.37
5503,MORRISON,CO,Morrison,"city MORRISON, state CO, Morrison","Morrison Avenue & Watson Avenue, Morrison Avenue, Bronx County, The Bronx, City of New York, New York, 10472, United States",40.83,-73.87
6268,Nashville,MI,Nashville,"city Nashville, state MI, Nashville",,,
6388,El Paso,TX,El Paso,"city El Paso, state TX, El Paso",,,
6869,Morrison,CO,Morrison,"city Morrison, state CO, Morrison","Morrison Avenue & Watson Avenue, Morrison Avenue, Bronx County, The Bronx, City of New York, New York, 10472, United States",40.83,-73.87
8517,Boston,MA,Roxbury,"city Boston, state MA, Roxbury",,,
10455,Portland,MI,Portland,"city Portland, state MI, Portland","Portland City Hall, 1220, Southwest 5th Avenue, University District, Downtown, Portland, Multnomah County, Oregon, 97204, United States",45.52,-122.68
11045,Boston,MA,Brighton,"city Boston, state MA, Brighton",,,
12395,Dorchester,MA,Dorchester,"city Dorchester, state MA, Dorchester",,,
12908,Cleveland,OK,Cleveland,"city Cleveland, state OK, Cleveland",,,
14896,Wildwood,GA,Wildwood,"city Wildwood, state GA, Wildwood",,,
15107,Ontario,CA,Ontario,"city Ontario, state CA, Ontario","City Pier, City of Canandaigua, Ontario County, New York, 14424, United States",42.87,-77.27
16191,Lyons,MI,Lyons,"city Lyons, state MI, Lyons","Lyons City Hall, North State Street, Lyons, Toombs County, Georgia, 30436, United States",32.21,-82.32
18051,Westlake,TX,Roanoke,"city Westlake, state TX, Roanoke",,,
23077,Porter,TX,Porter,"city Porter, state TX, Porter",,,
23128,Lowell,MI,Lowell,"city Lowell, state MI, Lowell",,,
23231,Santa Clarita,CA,Valencia,"city Santa Clarita, state CA, Valencia",,,
24511,Centennial,CO,Aurora,"city Centennial, state CO, Aurora",,,
